City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Reyes,BO,-14.3167,-67.3833,73.02,88,71,1.72,broken clouds
169,Tavda,RU,58.0425,65.2726,38.91,56,100,3.31,light rain
170,Oyem,GA,1.5995,11.5793,83.57,52,95,1.99,overcast clouds
171,Pahrump,US,36.2083,-115.9839,71.94,16,11,6.85,few clouds
172,Bilibino,RU,68.0546,166.4372,13.59,96,100,1.23,overcast clouds
173,Bubaque,GW,11.2833,-15.8333,76.68,77,3,8.23,clear sky
174,Port Augusta,AU,-32.5,137.7667,60.94,53,11,3.4,few clouds
175,Glendive,US,47.1053,-104.7125,39.18,60,0,0.0,clear sky
176,Puerto Carreno,CO,6.189,-67.4859,75.58,89,99,2.35,overcast clouds
177,San Pedro Carcha,GT,15.4833,-90.2667,63.0,98,95,2.39,light rain
178,San Jose,US,37.3394,-121.895,54.82,82,0,18.01,clear sky
179,Maniitsoq,GL,65.4167,-52.9,30.24,63,18,9.69,few clouds
180,North Bend,US,43.4065,-124.2243,50.86,98,100,4.61,mist
181,Lompoc,US,34.6391,-120.4579,52.79,97,100,8.05,mist
182,Doha,QA,25.2867,51.5333,102.51,17,0,20.71,clear sky
183,Fairbanks,US,64.8378,-147.7164,42.8,63,100,6.91,overcast clouds
184,Sayaxche,GT,16.5167,-90.1667,71.74,98,96,1.14,light rain
185,Havoysund,NO,70.9963,24.6622,37.63,71,19,19.37,few clouds
186,Krasnogorskoye,RU,52.2953,86.1979,50.36,40,99,12.41,overcast clouds
187,Ilulissat,GL,69.2167,-51.1,30.22,40,5,6.91,clear sky
188,Tura,IN,25.5198,90.2201,90.12,33,93,7.31,overcast clouds
189,Bela Vista De Goias,BR,-16.9728,-48.9533,67.35,89,1,2.91,clear sky
190,Loandjili,CG,-4.7561,11.8578,84.31,79,20,5.75,few clouds
191,Vanimo,PG,-2.6741,141.3028,80.22,85,85,4.47,overcast clouds
192,Banjar,ID,-8.19,114.9675,80.02,90,56,2.01,broken clouds
193,Cedar City,US,37.6775,-113.0619,56.39,40,0,3.44,clear sky
194,Coldstream,GB,55.6511,-2.2529,52.75,89,100,6.46,overcast clouds
195,Kalmunai,LK,7.4167,81.8167,86.13,67,62,9.15,broken clouds
196,Caracuaro,MX,19.0106,-101.1264,71.51,39,60,2.44,broken clouds
197,Avarua,CK,-21.2078,-159.775,75.25,69,98,5.75,overcast clouds
198,Srednekolymsk,RU,67.45,153.6833,27.99,82,91,2.51,overcast clouds
199,Port Hardy,CA,50.6996,-127.4199,51.98,87,100,0.0,overcast clouds
200,Sinnamary,GF,5.3833,-52.95,78.8,84,78,10.56,broken clouds
201,Nome,US,64.5011,-165.4064,30.27,93,20,6.91,few clouds
202,Baley,RU,51.6,116.6333,52.77,25,93,9.37,overcast clouds
